Comentário;Sentimento
Obrigado;Neutro
estão muito bem no atendimento;Positivo
Melhoria no processo de compra de pacotes para novos usuários. Inicialmente tive dificuldade em completar a compra, pois o sistema não completava a compra via navegador durante a semana passada. O botão confirmar compra e ir para tela de pagamento não funcionava. Passados 3 dias, tentei novamente e consegui efeturar a compra, mas tive o erro de 'Publisher não disponível' e precisei entrar em contato com o atendimento para receber o email inicial de Boas vindas.;Neutro
tempo de atendimento;Negativo
Preciso alterar meu email no cadastro e não tenho autonomia para isso. Aguardando retorno para resolver, sem sucesso.;Neutro
O atendimento aqui melhorou muito, Com esse chat agilizou a forma de em entrar em contato com oPortal.;Positivo
Boa!;Positivo
Top;Positivo
Otimo;Positivo
otimo;Positivo
Otimo;Positivo
Não tenho nenhum, obrigado;Neutro
top;Positivo
Top;Positivo
10;Neutro
Amei;Positivo
bom;Positivo
ok;Neutro
Bom;Positivo
OK;Neutro
Otimo;Positivo
otimo;Positivo
Top;Positivo
bom;Positivo
Bom;Positivo
otimo;Positivo
ok;Neutro
Otimo;Positivo
ótimo atendimento;Positivo
TOP!;Positivo
OTIMO;Positivo
Lixo;Negativo
boa;Positivo
Ok;Neutro
Bom;Positivo
otimo;Positivo
otimo;Positivo
otimo;Positivo
Problema resolvido;Positivo
Não possui nenhum canal para falar diretamente com a plataforma. O chat demora uma eternidade para não responder ou cair a conexão. O atendente te dá uma resposta pronta sem analisar a situação caso a caso.;Negativo
O atendente fez o que pode para me ajudar, embora demorando ou evitando dar respostas práticas, mas é compreensível que a culpa não é dele, e sim da plataforma que faz o que pode para evitar responsabilidades.;Negativo
Minha reclamação não foi solucionada pois recebi a informação que tudo foi resolvido mas a despesa anda consta cobrando, o pedido não consta que foi devolvido ao remetente e na plataforma consta pendente de entrega e não recebi o comprovante de cancelamento.;Negativo
Ótimo suporte recebido!;Positivo
Otimo;Positivo
top;Positivo
Otimo;Positivo
Otimo;Positivo
Otimo;Positivo
bom;Positivo
Boa;Positivo
otimo;Positivo
UM;Neutro
Bom;Positivo
Otimo;Positivo
top;Positivo
bom;Positivo
amei;Positivo
OTIMO;Positivo
Otimo;Positivo
Bom;Positivo
Otimo;Positivo
Bom;Positivo
Otimo;Positivo
Otimo;Positivo
otimo;Positivo
otimo;Positivo
Otimo;Positivo
top;Positivo
ok;Neutro
Bom;Positivo
otimo;Positivo
Bom;Positivo
top;Positivo
Otimo;Positivo
otimo;Positivo
Ótimo;Positivo
Top;Positivo
Bom;Positivo
boa;Positivo
ok;Neutro
bom;Positivo
ótimo;Positivo
Boa;Positivo
Top;Positivo
5*;Neutro
yolo;Neutro
Ótimo;Positivo
Bom;Positivo
Ótimo;Positivo
bom;Positivo
Bom;Positivo
Boa!;Positivo
Ótimo;Positivo
show;Positivo
boa!;Positivo
Respostas automáticas não satisfazem o cliente;Negativo
show;Positivo
bom;Positivo
Ótimo;Positivo
Show;Positivo
Ótimo;Positivo
Bom;Positivo
Ótimo;Positivo
Bom;Positivo
Ótimo;Positivo
Ótimo;Positivo
Ótimo;Positivo
Boa;Positivo
XD;Neutro
Boa;Positivo
Bom;Positivo
ótimo;Positivo
Nada;Neutro
bom;Positivo
Ótimo;Positivo
boa;Positivo
boa;Positivo
Mas qual é a melhor nota?;Neutro
Bom;Positivo
bom;Positivo
boa;Positivo
top;Positivo
ótimo;Positivo
Ótimo;Positivo
Ótimo;Positivo
Ok;Neutro
Ok;Neutro
Ótimo;Positivo
Ótimo;Positivo
Bom;Positivo
Bom;Positivo
top;Positivo
Bom;Positivo
bom;Positivo
Ótimo;Positivo
Ótimo;Positivo
Ótimo;Positivo
Top;Positivo
Ótimo;Positivo
Boa;Positivo
bom;Positivo
Boa!;Positivo
Ótimo;Positivo
Ótimo;Positivo
Ótimo;Positivo
Boa;Positivo
Boa;Positivo
boa;Positivo
Ótimo;Positivo
Boa;Positivo
top;Positivo
Ótimo;Positivo
Bom;Positivo
Ótimo;Positivo
Ótimo;Positivo
Havia sido atendido 1 dia antes por outro atendente que pediu para aguardar até 24 horas para resolve, esperamos e não resolveu. Entrar novamente em contato e após atendimento da Fernanda no momento foi resolvido.;Negativo
bom;Positivo
Ótimo;Positivo
bom;Positivo
Bom;Positivo
Demorou muitos e muitos dias para eu receber algum retorno sobre a minha solicitação, de forma que eu até já tinha esquecido, e no final das contas até agora não sei como vcs conseguiram lançar um valor no meu cartão de crédito. Um absurdo.;Negativo
O atendimento em si foi bem legal, solicito e gentil, mas a resolução deixa a desejar, já que não possui prazos ou datas;Positivo
Mediacao da OLX acabou favorecendo pessoa de ma índole . Mesmo com minhas boas qualificações . Produto funcionando normalmente . equipe da OLX acabou favorecendo golpista. Infelizmente quem vende honestamente não tem vez .;Neutro
simples e direto, ajudo muito adoro com e facil de resolver problemas pelo olx;Positivo
a falta de clareza nas informações é algo a ser repensado, se uma compra não foi aprovada, deve-se dizer o motivo.;Negativo
Absurdo vc ter que entrar num chat pra pedir pra cancelar esse OLX Pay que é atrelado a sua conta sem vc nem pedir!!!!;Negativo
Foi um pouco difícil conseguir encontrar a ferramenta de chat com o suporte da Olx, inclusive eu tentei contato mais cedo por e-mail, porém nunca me responderam.;Negativo
"Muito boa
O Deivede foi prestativo e atencioso.";Positivo
Adiantou de nada;Negativo
atendente muito atencioso, foi claro com as instruções para resolver meu problema.;Positivo
"Não resolvem nada, simplesmente abrem analise.
Não sabem a diferença do joelho com o cotovelo.";Negativo
"nao resolveu meu problema, pediu pra esperar, se fosse pra esperar eu nem teria entrado no site e teria esperado!
pessimo atendimento";Negativo
A atendente deu resposta diretas sem enrolação, PORÉM O SISTEMA DE 72 HORAS DA OLX PARA RESOLVER COISAS SIMPLES, ESTÁ MEIO ARCAICO. E O EMAIL QUE O PRIMEIRO ATENDENTE DISSE QUE CHEGARIA ATÉ O MOMENTO NÃO CHEGOU.;Positivo
Foi um atendimento bom com respostas rápidas.;Positivo
Não tive a resposta q queria ! O acesso as informações são difíceis, o chat demora muito e quanto pensamos q vai ter atendimento ele cai;Negativo
Atendimento muito bom apesar de não haver notícias imediatas sobre a resolução do problema.;Positivo
O atendimento foi lento, por ser via e-mail, vocês deveriam criar um canal de atendimento mais rápido, como um chat ao vivo ou WhatsApp.;Negativo
A resolução do problema foi fácil, porém as medidas na etiqueta estavam bem diferrentes das do anúncio. Obrigado.;Positivo
O problema foi gerado pela mensagem seu cpf ja esta cadastrado, a operadora disse que so posso abrir a OLX pay em 48;Neutro
Excelente atendimento. Agradeço.;Positivo
A demora para ativar o anúncio é muito grande.;Neutro
o atendimento foi bom, porem, muitos anuciantes usam a plataforma para divulgarem somente, já tentei 4 vezes comprar um produto garantido, mas sempre recusam e dizem que foi o cartão. obrigado;Positivo
Excelente.;Positivo
fui atendido pelo wellington, foi rápido e pratico o atendimento.;Positivo
"Demoraram de mais para a resolução do caso. Fiquei no ""prejuízo"" pois minha conta foi suspensa. Não tive uma resposta clara da análise do caso. Enfim.";Negativo
Dificil o contato e o retorno sempre com atraso de informacoes.;Negativo
Meu caso não foi resolvido e nem tem oq que faça pra resolver e nem tem prazo. Muito descaso da olx,fora que a demora pra responder;Negativo
Não resolveu meu problema, e a demora para retorno é muito grande, assim perderei o produto que quero comprar!;Negativo
bom;Positivo
as orientações dadas nao foram proveitosas;Negativo
(...estou no aguardo de que seja resolvido o problema do assunto sobre a compra que não consigo efetuar...);Neutro
Rápido e eficiente o atendimento.;Positivo
Foi dado resposta genérica e não resolveu meu problema. Se eu tivesse dinheiro a vista tinha comprado pessoalmente. A facilidade da Olx play é a de parcelamento. Não falaram motivo bloqueio e mandaram eu negociar a vista. Atendimento ridículo;Negativo
"Parece atendimento automatizado. Pense um pouco na minha experiencia de compras:
1ª compra cancelada por expirar o prazo do pix 10 minutos...pensei a olx é rapida pra fazer o pagamento...concluir vai ser rapido as outras etapas

2ª compra...achei uma mesma ofertasó que tive que esperar um tempo pois o bunus ja havia sido utilizado ...venda foi cancelada sem uma explicação ...recebi o reembolso rapidinho

3ª compra..fiz na segunda e na quinta feira...até agora nao recebi nenhuma resposta do vendedor, apesar de varias vezes constar que ele está on line...ele simplesmente nao responde...

Agora pense comigo 3 tentativas sem sucesso...qual avaliação? qual sentimento de incerteza pra proximas compras? Olx está realmente preparada para fazer vendas, sem ser vendas locais? Não sei se consegui causar uma reflexao em voces, qual será a informação que posso passar para os clientes?...Pense em um cliente que ainda não conseguiu comprar pelo Olx";Negativo
Atendeu minhas expectativas;Positivo
Resolveu e não demorou muito;Positivo
Ótimo;Positivo
"o fato de quando há um problema na entrega do produto não há assistencia do olx 
por exmplo: fiz uma venda o endereço do cliente não foi encontrado o produto retorna pra mim, porem eu não sou ressarcida pelos custos de envio como transporte ou deslocamento até a unidade do correio , venda que poderia de fato ter sido efetuada nesse prazo e etc. o serviço olx pay deixa muito a desejar em relação a isso";Neutro
Encerrou o chat super rápido e não resolveu meu problema;Negativo
"Péssimo, demorou 5 dias pra me responder ""o pagamento não foi aprovado""... É óbvio, caralho, se eu entrei em contato justamente por causa disso. Que não foi aprovado, eu já sei... Quero saber o motivo";Negativo
Daniela foi muito rápida e prestativa.;Positivo
Não me ajudou em nada, nem me informou o motivo de eu não conseguir concluir a compra do olxpay! Não irei finalizar a compra e foi uma péssima primeira experiencia!! Nunca mais vou tentar comprar pelo olxpay!!!!;Negativo
Rapido e eficiente;Positivo
Não resolveu a devolução do material errado, pois estava aguardando a msg pelo olx pay e não por email. Assim não resolveu a devolução do produto errado.;Neutro
Na plataforma da olx, não tem como falar com atendimento,tive que procurar no Google,como fazer isso.;Neutro
mto atencionso parabens e solucionou meu problema;Positivo
Não responderam as perguntas que fiz no email, tão pouco resolveram o problema com a compra. Continuo com o mesmo problema sem solução. Péssimo atendimento ao cliente.;Negativo
Tudo muito bom;Positivo
"Atendente muito compreensível, mas o sistema é deveras travado quando se trata do comprador...
Pois ficamos, 5 dias, a disposição da vontade do vendedor em querer em entrar em contato ou se vai nos enviar o produto ou não... 
Como disse ao Atendente, deve ser implementado um procedimento antes destes ""5 dias de preparação"" um em que o vendedor deve sinalizar se tem ou não vontade de continuar a venda, pois assim os pagamentos não ficariam travados e possibilitaria acelerar novas compras";Positivo
A experiência muito boa os atendentes muito atenciosos;Positivo
Resposta foi muito rápida e satisfatória.;Positivo
atendimento bom feito com clareza;Positivo
Uma merda o atendimento.;Negativo
não resolveu o problema, tenho que esperar contato em 72h via email.;Negativo
rápido e muito bem feito, parabèns;Positivo
Nao fizeram a análise do problema em si, sou analista desenvolvedor, e pela experiencia que tenho, me parece que o erro é do site em si, nao do pagamento com cartão de credito. Fiz o cadastro de vários cartões e os verifiquei na plataforma, quando tento pagar, já recusa de imediato! A operadora do cartão sequer recebe a requisição da compra, e o suporte faz uma analise rasa, nao dá informações adequadas, e sugere eu pagar no PIX uma compra que quero parcelar! Que solução é essa?;Neutro
muito bom;Positivo
Porém tenho uma ressalva o PIX tinha que ser imediato quando o vendedor cancelar a venda;Neutro
Muito atenciosa;Positivo
muito atencioso e objetivo.;Positivo
Anna é uma pessoa simpática, sabe atender outras pessoas, gostei bastante!;Positivo
Minha dúvida não foi resolvida, não souberam informar como ocorreu um cancelamento de compra, pois não partiu do vendedor e nem comprador. A atendente muito atenciosa no contato, porém, demora um pouco para a resposta dos e-mails.;Negativo
O atendimento parecia mensagem programada de robô e sem detalhes do que estava sendo relatado ou tentando ser solucionado, foi horrível e ainda, pra completar, meu problema não foi resolvido. Ou seja, pior experiência possível!;Negativo
Não resolveu nada, tive que recorrer a justiça. Vocês só servem pra mandar email bonitinho. Não indico vocês de jeito nenhum. Péssimo atendimento, não resolve nada!! Nem sei pra que tem vocês. Mas enfim. Minha nota é 0.;Negativo
"Tentei solicitar uma troca de etiqueta e não consegui, tive que cancelar a venda.
Vocês poderiam melhorar o atendimento, é muito demorado.";Neutro
Não resolveu o problema, mas deu assistência;Positivo
Excelente;Positivo
pessimo, os atendentes nao sabem o basico da lei de um consumidor, e nao conseguiram resolver meu problema que era simples, muito insatisfeito com essa empresa, e estou me sentindo lesao, irei procurar meus direitos.;Negativo
Excelente atendimento;Positivo
Meu chamado foi encaminhado para outro setor;Neutro
Classifiquei como bom atendimento por que ainda não solucionaram meu problema.;Positivo
o atendente encerro o chat;Negativo
O vendedor não quis entregar o computador para um cliente de outro estado, e simplesmente cancelou a venda. A OLX me assustou dizendo que a devolução do crédito levaria até 30 dias! Isso é muito tempo onde todas as movimentações financeiras são digitais.;Neutro
A atendente Gabriela foi super solícita e objetiva. Ótimo atendimento! Nota 10!;Positivo
"Não consegui resolver
Sofri um golpe da olxpay";Negativo
Meu problema não foi resolvido, pois tenho que aguardar 72 horas uteis para uma simples análise. Como informei em outra pesquisa, a plataforma tem tudo para dar certo, mas esses problemas de recusa de compras sem nenhum motivo aparente, desanima tanto o comprador quanto o vendedor. Isso gera um abandono desta plataforma e migração para outras como Mercado Livre.;Negativo
Infelizmente tive que realizar a compra d outra forma que não fosse a desejada. Minha conta continua cancelado todas as compras que faço com cartão de crédito;Negativo
A mediação por email é um pouco lenta, se tivesse a opção do chat me sentiria mais tranquilo em negociações em que o valor é mais alto principalmente.;Neutro
Foi suave e tranquila.;Positivo
ótimo atendimento;Positivo
Obtive resposta do que solicitei.;Positivo
Excelente, continuem a melhorar. Obrigado!;Positivo
Tive um problema com no há venda, mandei várias msg e não obtive nenhum retorno.;Negativo
O sistema OLX PAY oferecido é simplesmente um lixo total e completo, recusaram o pagamento sem nenhuma justificativa plausível, só respostas prontas de praxe, tirem do ar essa porcaria q é melhor. Sem contar a demora... Fiz a compra pela Amazon e em menos de 5min já estava tudo certo, OLX PAY É UM LIXOOOO!;Negativo
nada resolvido;Negativo
a aprovação deveria ter outros critério segue meu telefone e aposto que não irá ligar -24999947003;Negativo
Excelente atendente. Simples e objetivo.;Positivo
a atendente esclareceu muito bem as duvidas;Positivo
"O atendente informou que não tem como abrir chamado e registrar as informações. Estou com um problema na minha compra, e o mesmo falou que tenho que ficar entrando no chat, e contar repetidas vezes a história para um novo atendente.

Não acho nada efetivo isso.";Neutro
O problema não foi resolvido, somente foi escalado para outro time de atendimento.;Negativo
Atendente Julia muito prestativa e objetiva, atendimento sem enrolação como vemos muitos.;Positivo
É preciso conhecimento de como manusear o app e/ou site para resolver o problema.;Negativo
horrível;Negativo
"excelente,
prestativa e rapida";Positivo
Levou mais de 1 semana pra resolver... Até lá já perdi a oportunidade de comprar o produto;Positivo
show;Positivo
"Fiz uma venda desde dia 05,01/2023 e não recebi meu dinheiro e ainda estão me cobrando uma taxa de 300,00 pra poder receber o meu valor de 1.450,00.
Que palhaçada é essa?
Vou processar o aplicativo e os responsáveis por me mandar mensagem me cobrando uma coisa que é minha por direito,eu vendi um aparelho de som no valor de 1.450,00 e não recebi meu dinheiro até agora.";Negativo
Atendimento foi ótimo. A parte de poder editar um anúncio pra alterar o peso é que tá faltando, eu refiz o anúncio mas da segunda vez ele não me perguntou mais o peso, parece bug.;Positivo
"Melhorou muito em comparação com a ultima vez.
mas acredito que para ficar bom necessite de um suporte em tempo real, em que se possa falar com um atendente diretamente";Positivo
O atendente Will foi educado, rápido e claro nas respostas, infelizmente algumas soluções que eu precisava a plataforma não oferece, o que dificulta a venda. Mas o atendimento do Will em si foi muito bom;Positivo
foi horrível, porque colocam robos p falar com a gente e não resolvem nada;Negativo
Péssimo atendimento, meu problema não foi resolvido, eu fui lesada e tive que acionar a justiça para tentar resolver por lá. Sai no prejuízo.;Negativo
Julinha show de bola!;Positivo
Ótimo;Positivo
É um pouco difícil, achar o chat do suport. Tem que facilitar mais o meio de entrar em contato com o suport.;Negativo
Eu não queria ter que cancelar a etiqueta, mas a única opção que me foi oferecida foi essa. Por isso, perdi a venda.;Negativo
Achei demorado o tempo de resposta a minha solicitação. Além disso, a solução do problema foi providenciada por mim mesmo, apesar de ter passado várias informações solicitadas. Devido a espera, decidi reexecutar o procedimento de resgate na OLXPay com outra conta bancária e funcionou.;Negativo
Problema não foi resolvido. Por algum problema no app, a mediação para devolução do produto não pôde ser aberta, causando prejuízo às duas partes.;Negativo
Muita demora para retornar e ainda assim, não consegui realizar a compra. O argumento que deram em relação ao cartão, não procede, pois tentei dois cartões diferentes, de bancos diferentes e bandeiras diferentes. Liguei na admistradora do cartão e estava tudo ok. Em fim, perdi a compra.;Negativo
"Agradeço ao amigo Clovis, que ajudou-me a compreender melhor o mecanismo da empresa. 
Atendimento ágil e eficaz. Parabéns!";Positivo
Muito bom Bom Muito fácil;Positivo
Diferente do mercado livre o acesso é mais fácil. Eles tem chat, email e ligação. Quando as respostas prontas não ajudam, ja aparece a opção de conversar com atendente por ligação, chat ou email. E sempre resolvem o problema. Eu não tive o meu problema resolvido. Por várias vezes tive minha compra cancelada e meus cartões tem saldo positivo. Por exemplo, ontem, vou perder um bom negócio porque tentei usar meus três cartoes com limite bom e não foi aprovado, ja no mercado livre e em outros sites sou aprovado na hora. Essa de ter que aguardar até dois dias para aprovar uma compra é um absurdo. No mercado livre, nem boleto demora tudo isso. Ou seja, estou bem descontente com a olx. Por isso não a uso como principal meio de compras ou vendas.;Neutro
E um lixo;Negativo
Criam um sistema de pagamento que não funciona! Pra que serve??;Negativo
o aterndimento foi encerrado e eu fiquei sem resposta;Negativo
Atendente muito prestativa, problema solucionado;Positivo
PRIMEIRAMENTE, O ATENDIMENTO É COMPLICADO, DESUMANIZADO E ROTEIRIZADO. FUI VÍTIMA DE UM GOLPE PELA FACILIDADE DE ACESSO A PLATAFORMA DE VOCÊS E, QUANDO REQUISITEI OS DADOS DAS PESSOAS QUE ACESSARAM MEU ANUNCIO, PARA QUE POSSA REPASSAR A POLICIA, O QUAL FOI INSTRUIDO NO CONTATATO O BO, FUI INFORMADO QUE PELA LGPD NÃO SERIA POSSÍVEL, DIFICULATANDO AINDA MAIS A SOLUÇÃO DA FRAUDE QUE RECEBI. ADEMAIS, MUITO SUPRESO FIQUEI EM SABER QUE, EM NENHUM MOMENTO, FOI SUGERIDA UMA CORRESPONSABILIDADE DE VOCÊS PARA O OCORRIDO. ASSIM EXPOSTO, TOMAREI AS MEDIDAS JUDICIAIS CABIVEIS, BEM COMO A INTERPELAÇÃO DA PLATAFORMA PARA QUE SEJA RESPONSABILIZADA, EM SUA PROPORÇÃO, PELO OCORRIDO.;Negativo
Falta de um canal mais ágil pois se tratava de situação de tentativa de fraude e só fui ter resposta no dia seguinte, ja que os outros canais sequer funcionam. A pessoa que depois me retornou foi muito gentil e atenciosa, mas essa demora que não é culpa da atendente e sim da OLX é inaceitável;Negativo
Péssimo atendimento;Negativo
"Entendo a preocupação com segurança da OLX, porém a compra que estou realizando esta sendo entregue no mesmo endereço e utilizando a mesma forma de pagamento utilizada na minha ultima compra, por favor analisem para liberar minha compra o quanto antes.

Obrigado";Neutro
Ótimo;Positivo
boa;Positivo
Otima , resolveu minhas duvidas;Positivo
foi bem rapido e objetivo, gostei;Positivo
NAO RESOLVE ABSOLUTAMENTE NADA, JOGAM DE UM PRO OUTRO O PROBLEMA;Negativo
DEMOROU MUITO PARA REALIZAR ALGO QUE PODERIA SER FEITO PELO PRÓPRIO USUÁRIO NO PROPRIO SITE.;Negativo
No fim, o problema não foi resolvido, fiquei sem o produto e sem o dinheiro por culpa do sistema de segurança da olx que deixa tantos golpistas passarem;Negativo
10% sobre o valor da venda é muito, seus arrombado! Mercado livre cobra uma taxa única.;Negativo
"A resposta demorou e não tive uma solução.. nota 0 ;)";Negativo
"A Daiane resolveu minha questão. 
Fico muito grato!";Positivo
Atendimento bom, ainda no aguardo da resolução do problema;Positivo
Atendente prestativo, eficaz e objetivo... estou plenamente satisfeito... parabéns à ele e à OLX;Positivo
Excelente, resolveu uma questão que ira me prejudicar e ao OLX!!! Tudo certo agora, você foi demais Ana!! Obrigado.;Positivo
"Fui atendido rapidamente, fiquei muito feliz e satisfeita.
Ja nao posso falar o mesmo da plataforma , principalmente a "" transferencia"" , voces tem uma plataforma gigante de vendas e ainda nao aderiram ao pix?";Positivo
Excelente atendimento, respondeu todas as minhas dúvidas de prontidão;Positivo
Resolveu nada.;Negativo
Ridículo, na boa.;Negativo
Há três dias estou tentando comprar um produto e fica só saindo mensagem erro inesperado;Negativo
O atendimento demorou tanto tempo que desisti de comprar pelo OLX. Combinei com o vendedor de fazer a compra pelo Mercado Livre, mesmo pagando mais.;Negativo
Péssimo! Não resolveu o problema, então foi ruim.;Negativo
não resolveram meu problema, não fizeram nada apenas me deixaram no prejuízo.;Negativo
Excelente, parabéns Alice;Positivo
O Paulo, que me atendeu, foi extremamente claro e prestativo ao me auxiliar.;Positivo
O atendimento foi bom, mas neste final de ano acredito que pelo baixo número de atendentes demorou um pouco para a primeira resposta, nas tudo tranquilo.;Positivo
Não resolveram..sem resposta e perdi a compra já exclui.meu cartão, não me sinto seguro e compro agora em outra plataforma;Negativo
Atendimento rápido.;Positivo
Problema resolvido.;Positivo
Precisa ter um chat online A pessoa às vezes quer saber a resposta na hora e não ficar enviando e-mail.;Negativo
Ótimo;Positivo
Ótimo;Positivo
Muito demorado e ineficiente: perdi oportunidade de comprar o produto desejado graças a um erro sem explicação e motivo. Bizarro. Compro a muitos anos em várias plataformas de vendas e nunca tive um pagamento negado e tive o desprazer de ser contemplado pela OLX;Negativo
Meu problema não foi resolvido. Continuo sem poder comorar no site, misteriosamente. Nem recebi nenhum retorno da equipe. Se tivesse uma nota pior do que muito ruim, eu daria;Negativo
"ótimo atendimento do sr will
obrigado";Positivo
Só dao respostas prontas, por más que a gente explique em detalles;Negativo
Dificuldade no processo de migração da olx pay de uma conta para a outra.;Negativo
Atendimento inacessível, demora na resposta. Solicitações urgentes são impossíveis de resolver. SAC ainda extremamente ineficaz;Negativo
Porcaria de atendimento! Não sei quantos chamados abertos e encerrados, e-mails, etc, mas nenhuma informação sobre a solução do problema! Péssimos!;Negativo
nao consegui resolver o meu problema. simplesmente me passaram para outro setor responsável com prazo de resposta de 72hrs. estou sendo prejudicado pela ineficiência da olx. pois comprei meu produto ontem, dia 03/01/2023, com prazo de entrega de 3 dias uteis e nao irei receber meu produto no tempo correto e estou sendo prejudicado pela ineficiência da olx, pois irei viajar no dia 08/01 sem o meu produto.;Negativo
Que tenha um chat imediato para resolver o problema e não ficar aguardando 72 horas para resolver, acabei perdendo a compra!;Negativo
Bom dia, não só o atendimento, como também não foi solucionado.;Negativo
Recebi o atendimento adequado. Resolveu meu probkema. Obrigado.;Positivo
A resolução do meu problema foi muito rápida e pude concluir a venda do meu produto.;Positivo
Não adianta ninguém resolve ou tem algum suporte para vc ser atendido ou mesmo para responder;Negativo
tudo horrivel;Negativo
Não resolveu;Negativo
Impossível comprar com a OLX Pay, fiquei extremamente decepcionado, me senti discriminado, já comprei o produto um pouco mais caro em outro site, uma pena ter perdido não só o bom preço ofertado, como ter perdido o cupom de desconto.;Negativo
As minhas dúvidas foram solucionadas;Positivo
otima atendente;Positivo
Analista cagou para meu problema... Encheu o e-mail de palavras genéricas e vagas, que não resolveram em nada o meu problema.;Negativo
Minha experiência com o atendimento foi excelente, nada a reclamar;Positivo
Deveria ter um atendimento on line por chat. Obg;Neutro
Boa, resolveu facilmente a questão;Positivo
Foi boa, mas precisa de um retorno mais rápido pra não correr o risco de perder a venda. Assim, talvez a existência de um chat em tempo real fosse melhor.;Positivo
"Quase cai em uma fraude!
entrei em contato com vcs pelo chat e fui super atendido, rápido objetivo";Neutro
O atendimento foi cordial e as informações claras, porém, a solução não é facilitada para o vendedor que fica a mercê do comprador.;Positivo
Pessimo;Negativo
Tudo ótimo. Parabéns!;Positivo
Foi difícil resposta pois era domingo, dia de ano novo, mas eu entendo, estou agradecido pelo atendimento.;Positivo
Brenda foi muito educada e procurou me atender com muita clareza.;Positivo
a atendente foi muito educada, mas a olx demorou três semanas para liberar meu CC!!;Positivo
frustrado com a marca o que reflete em tudo daí;Negativo
fui tratado como um idiota;Negativo
Resolveram, mas infelizmente foi na segunda tentativa e ainda tive que ser ríspido com os atendentes para resolverem. Infelizmente não gosto de agir assim;Neutro
"Os canais de ajuda estão muito escondidos, o que é péssimo. 

Como sugestão, poderia estar mais explícito que no pagamento por cartão a análise pode demorar até dois dias, pois normalmente as compras com cartão são instantâneas. 

O atendimento foi muito bom";Negativo
Excelente e super eficaz;Positivo
falta entender a solicitação antes de tentar resolver;Negativo
"A resposta que deveria ter ocorrido em 3 dias, demorou muito mais que uma semana.
Ninguém resolveu nada, nem apresentou pssivel solução, nem explicou a causa do problema de eu nao conseguir comorar nada, sempre dar comora nao aprovada, sendo que estava td ok com meus cartões e cadastros";Negativo
Infelizmente não consegui resolver meu problema pq a pessoa fala que não pode resolver por ter um chamado em aberto e que na verdade estava tentando resolver o que estava aberto então como primeira experiência está sendo péssimo;Negativo
Não resolveu meus problemas...;Negativo
Tentei realizar a compra diversas vezes. Cartão liberado com limite alto e a plataforma de vocês recusando a compra instantaneamente. Não existe um canal de fácil comunicação para tentar resolver, o que resultou na perca de vários cupons de desconto e por fim da compra, pois o produto foi vendido para outra pessoa. Serviço péssimo e uma péssima experiência de compra, por uma grande falta de ingerência da equipe.;Neutro
Excelente.;Positivo
Não foi resolvido como a atendente disse que seria;Negativo
Atendente muito competente e atenciosa.;Positivo
"Infelizmente o vendedor, no caso eu, não está protegido em relação a compra. Se o comprador alega que o produto possuí algum defeito ou dano, ele é beneficiado com o cancelamento da compra,tem o seu reembolso aprovado e tudo resolvido.
Agora eu, que sou o vendedor, vou receber um produto fora das condições as quais ele foi enviado e provavelmente não irei conseguir revender.
Deixando registrado aqui que o comprador está recebendo todo o suporte,mas o vendedor não é bem tratado.
Vendi e tenho certeza que o comprador fez a venda pois queria algo no meu produto, após utilizar, disse que não está em condições de utilização e mandou devolver. Tenho absoluta certeza de que é exatamente isso que irá acontecer e o prejuízo será meu, totalmente meu. 
Inacreditável OLX PAY! Infelizmente não irei comercializar mais nada por esse formato.
Ficamos totalmente desprotegidos!";Neutro
Não solucionaram meu problema.;Negativo
Tudo ótimo.;Positivo
a plataforma precisa melhorar muito;Negativo
O problema persiste. Todas as transações que fiz no cartão não foram aprovadas (sequer enviadas para o banco). Pegaram a última que foi bem sucedida (que foi PIX e não cartão). E disseram que não viram o problema. Óbvio que qualquer sistema tem o histórico de transações... a questão é quem pesquisa isso... enfim. Não resolveu.;Negativo
Perca de tempo até hoje não consigo fechar minha compra via cartão de crédito palhaçada.;Negativo
atendimento merda n me ajudou em nd;Negativo
Depois de muita conversa foi resolvido o problema, obrigado.;Neutro
esta em mediação ja faz 2 semanas e a resposta é sempre a mesma que estao verificanco;Negativo
Nada contra analista em si, também trabalho com suporte direto a cliente e sei como é, mas 72hs para resposta? Ruim demais. No fim, de tanto tentar, acabou dando certo a compra;Neutro
Não foi resolvido meu problema;Negativo
perfeito;Positivo
ótimo atendimento.;Positivo
prazo de retorno longo;Negativo
Minha solicitação foi atendida conforme o esperado.;Positivo
Péssimo! Jamais vão assumir o lugar do Mercado Livre, vocês são amadores! Decepção!;Negativo
Respostas automática, muita demora demoraram 2 dias para me enviar uma resposta automática. Péssima experiência;Negativo
Essa atendente foi muito atenciosa;Positivo
nao foi resolvido meu problema;Negativo
muito bom, fui atendido e esclarecido todas as duvidas;Positivo
Consegui sanar minhas dúvidas e foi tudo rápido.;Positivo
Não consegui nenhum tipo de parecer sobre o problema apresentado e fui transferido para um setor que leva 72h para responder alguma coisa.;Negativo
O atendimento não resolveu minha situação, isso é muito Frustrante.;Negativo
Pedro nota 100000000;Positivo
o cara é pica.;Positivo
Estava com problemas, mais rapidamente a moça que me atendeu se prontificou a me ajudar a resolver...;Positivo
Fui muito bem atendido, e estou aguardando o resultado final da solução de meu problema com o pagamento.;Positivo
uma porcaria nunca mais tento comprar nada pelo site merda que oferecem.;Negativo
